date,open,high,low,close,volume,barCount,average
20201224  04:32:45,131.0,131.0,131.0,131.0,0,0,131.0
20201224  04:33:00,131.0,131.0,131.0,131.0,0,0,131.0
20201224  04:33:15,131.0,131.0,131.0,131.0,0,0,131.0
20201224  04:33:30,131.0,131.0,131.0,131.0,0,0,131.0
20201224  04:33:45,131.0,131.0,131.0,131.0,0,0,131.0
20201224  04:34:00,131.0,131.0,131.0,131.0,3,1,131.0
20201224  04:34:15,131.0,131.0,131.0,131.0,0,0,131.0
20201224  04:34:30,131.0,131.0,131.0,131.0,0,0,131.0
20201224  04:34:45,131.0,131.0,131.0,131.0,0,0,131.0
20201224  04:35:00,131.0,131.0,131.0,131.0,0,0,131.0
20201224  04:35:15,131.0,131.0,131.0,131.0,0,0,131.0
20201224  04:35:30,131.0,131.0,131.0,131.0,0,0,131.0
20201224  04:35:45,131.0,131.0,131.0,131.0,0,0,131.0
20201224  04:36:00,131.05,131.05,131.05,131.05,1,1,131.05
20201224  04:36:15,131.05,131.05,131.05,131.05,0,0,131.05
20201224  04:36:30,131.05,131.05,131.05,131.05,0,0,131.05
20201224  04:36:45,131.05,131.05,131.05,131.05,0,0,131.05
20201224  04:37:00,131.03,131.03,131.03,131.03,9,1,131.03
20201224  04:37:15,131.03,131.03,131.02,131.02,14,2,131.027
20201224  04:37:30,131.02,131.02,131.02,131.02,0,0,131.02
20201224  04:37:45,131.02,131.02,131.02,131.02,0,0,131.02
20201224  04:38:00,131.02,131.02,131.02,131.02,0,0,131.02
20201224  04:38:15,131.02,131.02,131.02,131.02,0,0,131.02
20201224  04:38:30,131.02,131.02,131.02,131.02,0,0,131.02
20201224  04:38:45,131.02,131.02,131.02,131.02,0,0,131.02
20201224  04:39:00,131.02,131.02,131.02,131.02,0,0,131.02
20201224  04:39:15,131.02,131.02,131.02,131.02,0,0,131.02
20201224  04:39:30,131.02,131.02,131.02,131.02,0,0,131.02
20201224  04:39:45,131.02,131.02,131.02,131.02,0,0,131.02
20201224  04:40:00,131.02,131.02,131.02,131.02,0,0,131.02
20201224  04:40:15,131.02,131.02,131.02,131.02,0,0,131.02
20201224  04:40:30,131.02,131.02,131.02,131.02,0,0,131.02
20201224  04:40:45,131.02,131.02,131.02,131.02,0,0,131.02
20201224  04:41:00,131.02,131.02,131.02,131.02,0,0,131.02
20201224  04:41:15,131.09,131.09,131.09,131.09,2,1,131.09
20201224  04:41:30,131.09,131.09,131.09,131.09,0,0,131.09
20201224  04:41:45,131.09,131.09,131.09,131.09,0,0,131.09
20201224  04:42:00,131.09,131.09,131.09,131.09,0,0,131.09
20201224  04:42:15,131.09,131.09,131.09,131.09,0,0,131.09
20201224  04:42:30,131.09,131.09,131.09,131.09,0,0,131.09
20201224  04:42:45,131.09,131.09,131.09,131.09,0,0,131.09
20201224  04:43:00,131.09,131.09,131.09,131.09,0,0,131.09
20201224  04:43:15,131.09,131.09,131.09,131.09,0,0,131.09
20201224  04:43:30,131.09,131.09,131.09,131.09,0,0,131.09
20201224  04:43:45,131.09,131.09,131.09,131.09,0,0,131.09
20201224  04:44:00,131.09,131.09,131.09,131.09,0,0,131.09
20201224  04:44:15,131.09,131.09,131.09,131.09,0,0,131.09
20201224  04:44:30,131.09,131.09,131.09,131.09,0,0,131.09
20201224  04:44:45,131.09,131.09,131.09,131.09,0,0,131.09
20201224  04:45:00,131.09,131.09,131.09,131.09,0,0,131.09
20201224  04:45:15,131.09,131.09,131.09,131.09,0,0,131.09
20201224  04:45:30,131.09,131.09,131.09,131.09,0,0,131.09
20201224  04:45:45,131.09,131.09,131.09,131.09,0,0,131.09
20201224  04:46:00,131.09,131.09,131.09,131.09,0,0,131.09
20201224  04:46:15,131.09,131.09,131.09,131.09,0,0,131.09
20201224  04:46:30,131.09,131.09,131.09,131.09,0,0,131.09
20201224  04:46:45,131.09,131.09,131.09,131.09,0,0,131.09
20201224  04:47:00,131.09,131.09,131.09,131.09,0,0,131.09
20201224  04:47:15,131.09,131.09,131.09,131.09,0,0,131.09
20201224  04:47:30,131.09,131.09,131.09,131.09,0,0,131.09
20201224  04:47:45,131.09,131.09,131.09,131.09,0,0,131.09
20201224  04:48:00,131.09,131.09,131.09,131.09,0,0,131.09
20201224  04:48:15,131.09,131.09,131.09,131.09,0,0,131.09
20201224  04:48:30,131.0,131.0,131.0,131.0,1,1,131.0
20201224  04:48:45,131.0,131.0,131.0,131.0,0,0,131.0
20201224  04:49:00,131.0,131.0,131.0,131.0,0,0,131.0
20201224  04:49:15,131.0,131.0,131.0,131.0,0,0,131.0
20201224  04:49:30,131.0,131.0,131.0,131.0,0,0,131.0
20201224  04:49:45,131.0,131.0,131.0,131.0,0,0,131.0
20201224  04:50:00,131.0,131.0,131.0,131.0,0,0,131.0
20201224  04:50:15,131.0,131.0,131.0,131.0,0,0,131.0
20201224  04:50:30,131.0,131.0,131.0,131.0,0,0,131.0
20201224  04:50:45,131.0,131.0,131.0,131.0,0,0,131.0
20201224  04:51:00,131.0,131.0,131.0,131.0,0,0,131.0
20201224  04:51:15,131.0,131.0,131.0,131.0,0,0,131.0
20201224  04:51:30,131.0,131.0,131.0,131.0,0,0,131.0
20201224  04:51:45,131.0,131.0,131.0,131.0,0,0,131.0
20201224  04:52:00,131.0,131.0,131.0,131.0,0,0,131.0
20201224  04:52:15,131.0,131.0,131.0,131.0,0,0,131.0
20201224  04:52:30,131.0,131.0,131.0,131.0,0,0,131.0
20201224  04:52:45,131.0,131.0,131.0,131.0,0,0,131.0
20201224  04:53:00,131.0,131.0,131.0,131.0,0,0,131.0
20201224  04:53:15,131.0,131.0,131.0,131.0,0,0,131.0
20201224  04:53:30,131.0,131.0,131.0,131.0,0,0,131.0
20201224  04:53:45,131.0,131.0,131.0,131.0,0,0,131.0
20201224  04:54:00,131.0,131.0,131.0,131.0,0,0,131.0
20201224  04:54:15,131.0,131.0,131.0,131.0,0,0,131.0
20201224  04:54:30,131.0,131.0,131.0,131.0,0,0,131.0
20201224  04:54:45,131.0,131.0,131.0,131.0,0,0,131.0
20201224  04:55:00,131.0,131.0,131.0,131.0,0,0,131.0
20201224  04:55:15,131.0,131.0,131.0,131.0,0,0,131.0
20201224  04:55:30,131.0,131.0,131.0,131.0,0,0,131.0
20201224  04:55:45,131.0,131.0,131.0,131.0,0,0,131.0
20201224  04:56:00,131.0,131.0,131.0,131.0,0,0,131.0
20201224  04:56:15,131.0,131.0,131.0,131.0,0,0,131.0
20201224  04:56:30,131.0,131.0,131.0,131.0,0,0,131.0
20201224  04:56:45,131.0,131.0,131.0,131.0,0,0,131.0
20201224  04:57:00,131.0,131.0,131.0,131.0,0,0,131.0
20201224  04:57:15,131.0,131.0,131.0,131.0,0,0,131.0
20201224  04:57:30,131.0,131.0,131.0,131.0,0,0,131.0
20201224  04:57:45,131.0,131.0,131.0,131.0,0,0,131.0
20201224  04:58:00,131.0,131.0,131.0,131.0,0,0,131.0
20201224  04:58:15,131.0,131.0,131.0,131.0,0,0,131.0
20201224  04:58:30,131.0,131.0,131.0,131.0,0,0,131.0
20201224  04:58:45,131.0,131.0,131.0,131.0,0,0,131.0
20201224  04:59:00,131.0,131.0,131.0,131.0,0,0,131.0
20201224  04:59:15,131.0,131.0,131.0,131.0,0,0,131.0
20201224  04:59:30,131.0,131.0,131.0,131.0,0,0,131.0
20201224  04:59:45,131.0,131.0,131.0,131.0,0,0,131.0
20201224  05:00:00,131.0,131.0,131.0,131.0,0,0,131.0
20201224  05:00:15,131.0,131.0,131.0,131.0,0,0,131.0
20201224  05:00:30,131.0,131.0,131.0,131.0,0,0,131.0
